IR Value,Red Value
329,400
312,390
312,390
312,390
312,390
328,401
328,401
328,401
328,401
306,378
306,378
306,378
306,378
324,400
324,400
324,400
324,400
318,388
318,388
318,388
318,388
312,389
312,389
328,403
323,401
305,379
305,378
305,379
306,378
328,404
329,402
328,403
329,403
310,387
322,390
322,399
306,378
329,402
310,386
321,391
322,399
306,378
329,404
310,387
322,392
322,399
306,379
327,403
308,387
320,392
321,400
306,380
328,403
310,386
321,392
322,400
306,379
328,403
309,386
321,400
322,399
305,378
329,402
310,386
323,393
322,399
306,378
328,402
309,386
323,393
322,400
307,380
329,404
309,385
322,393
322,399
306,380
328,403
310,387
323,394
321,399
306,378
329,403
309,385
324,393
322,399
307,379
327,403
309,386
323,394
322,399
306,380
327,403
308,385
323,393
321,397
306,379
329,403
310,385
324,394
321,398
306,379
328,402
309,385
325,394
321,399
307,379
328,403
308,386
324,394
322,398
306,379
327,402
309,384
325,394
322,398
307,380
307,380
307,380
329,403
329,406
329,406
330,405
309,386
307,384
308,385
327,399
320,399
309,380
330,405
307,385
327,399
321,399
310,380
329,405
307,384
327,399
320,399
310,382
329,406
306,384
326,399
320,397
310,381
330,406
307,385
327,400
320,398
310,380
329,405
307,385
328,401
321,399
311,381
329,405
306,384
328,400
321,399
310,382
329,405
306,384
328,399
320,398
311,381
329,405
307,384
328,400
321,399
311,381
330,405
307,385
328,400
319,398
310,382
329,406
306,385
328,400
321,398
312,382
329,405
306,385
328,401
320,398
311,382
330,406
307,385
327,400
320,398
311,382
329,406
307,384
328,401
320,398
311,382
329,406
307,385
328,401
320,397
312,382
328,405
306,383
329,401
319,399
313,384
329,406
306,384
328,400
319,397
313,383
329,406
307,385
329,401
319,397
320,398
320,398
313,383
313,383
313,383
313,383
328,405
329,405
329,405
305,383
330,402
319,397
315,384
328,404
306,382
329,401
319,396
315,384
328,406
306,382
329,401
318,395
314,384
329,405
306,383
329,402
318,396
315,384
328,404
305,382
330,402
319,396
315,384
327,404
305,382
329,402
318,395
315,385
328,405
305,382
329,402
318,396
315,385
329,405
305,382
329,402
318,395
316,385
328,405
306,381
330,402
318,395
315,384
328,405
305,381
330,402
318,396
316,385
328,405
305,382
329,402
318,395
316,386
316,385
328,405
306,382
329,403
318,395
316,385
328,404
306,383
330,403
318,396
317,386
328,404
305,382
330,402
318,396
317,386
328,405
306,382
330,403
317,395
316,386
328,405
306,381
331,403
318,396
316,386
328,404
305,382
330,403
318,395
318,395
317,395
317,396
317,387
318,388
318,388
318,388
329,405
327,405
305,382
331,404
317,394
319,389
327,404
306,382
331,405
316,395
319,388
328,404
305,381
332,405
316,395
319,390
327,403
305,381
331,404
316,394
319,389
327,405
327,405
306,381
331,404
316,394
319,389
328,402
305,379
331,405
315,395
318,389
327,404
304,380
328,404
314,394
319,391
327,404
306,380
329,404
315,394
318,390
329,404
306,380
331,405
316,394
320,390
329,404
307,380
331,405
315,394
319,390
328,402
304,379
330,404
314,394
319,391
327,404
306,380
331,405
314,394
319,390
327,404
306,382
332,405
315,395
320,391
326,405
305,381
331,405
314,393
319,392
326,404
306,381
330,405
315,393
320,391
327,404
306,379
331,406
331,406
332,407
331,406
313,393
314,394
314,394
320,392
328,404
306,381
331,406
314,394
320,392
326,403
305,381
331,405
314,393
320,392
328,405
305,381
331,406
313,393
320,391
326,403
305,380
331,406
313,393
320,392
327,404
305,380
332,406
314,393
320,392
327,405
306,381
330,406
313,393
321,392
327,405
307,381
331,406
314,394
320,393
326,405
306,380
332,406
313,393
320,392
327,405
306,381
331,407
314,394
321,393
326,404
306,381
331,406
313,394
321,392
328,405
307,381
332,406
313,393
320,392
327,404
306,381
331,406
313,393
320,392
326,405
306,381
331,405
313,394
320,393
327,404
306,381
332,406
314,393
320,392
327,405
306,381
330,407
331,407
331,407
332,407
312,392
313,393
312,394
321,394
320,394
321,393
325,405
307,381
331,407
312,393
321,394
326,404
306,381
330,406
312,392
322,395
325,406
307,381
331,407
311,392
322,394
327,405
306,381
331,407
312,392
321,394
324,403
307,381
330,408
312,392
321,394
326,404
306,382
332,406
312,391
322,394
326,405
307,382
331,408
311,391
321,394
326,405
307,382
331,408
312,391
322,395
325,405
307,382
331,408
312,391
322,396
326,405
307,382
331,408
312,391
323,395
325,404
307,381
331,408
312,391
323,396
326,404
307,382
332,408
312,392
322,396
325,404
306,382
332,407
311,391
322,396
325,405
306,381
331,408
311,391
323,394
325,405
307,382
331,408
311,390
323,396
325,405
307,381
307,382
332,408
312,391
312,391
312,390
311,391
324,398
325,396
325,396
324,397
324,403
325,405
309,382
331,408
312,390
325,397
325,406
308,383
331,408
312,389
325,396
324,405
308,383
331,409
311,391
324,397
325,404
308,382
332,409
312,390
324,397
324,404
308,381
331,407
312,390
326,397
324,403
308,382
331,408
311,389
325,397
324,403
308,382
331,409
311,390
326,397
324,404
307,382
331,408
311,390
327,398
324,403
308,382
332,408
311,389
326,398
323,403
308,384
331,409
308,383
333,409
312,390
327,398
325,401
310,381
