IR Value,Red Value
181,186
181,186
181,186
181,186
171,177
179,187
179,187
179,187
172,173
172,173
172,173
162,168
178,186
178,186
167,177
167,176
167,176
162,168
177,180
177,180
177,180
177,180
181,183
181,186
181,186
181,186
170,178
163,168
163,168
173,177
173,177
173,177
167,176
162,167
162,167
177,184
177,184
182,189
182,189
166,169
166,169
166,169
162,170
162,170
162,170
162,170
162,168
162,168
162,168
162,168
170,178
170,178
170,178
173,173
173,173
162,167
180,185
180,185
182,186
182,186
169,171
163,170
163,170
181,187
181,187
173,181
181,187
181,187
181,187
165,169
165,169
165,169
165,169
165,171
165,171
174,182
174,182
165,172
165,172
165,172
175,182
175,182
163,168
162,168
162,168
181,188
181,188
176,181
176,181
182,188
177,181
177,181
176,180
176,180
176,180
177,185
177,185
177,185
177,185
177,185
177,185
176,178
176,178
162,167
162,167
182,188
182,188
167,177
167,177
161,167
161,167
167,176
182,187
174,178
174,178
174,178
182,189
178,185
178,185
178,185
167,175
167,175
163,168
166,172
166,172
166,172
181,188
181,188
181,188
180,185
180,187
180,187
172,178
161,168
161,168
162,168
173,176
173,176
173,176
163,167
163,167
163,167
167,176
162,167
162,167
166,173
181,188
181,188
181,188
176,178
176,178
177,185
177,185
175,178
162,168
162,168
168,177
168,177
161,168
161,168
161,168
161,168
161,168
181,186
182,184
182,184
182,184
169,177
169,177
175,175
178,185
178,185
178,185
166,174
177,184
177,184
163,168
163,168
163,168
176,178
176,178
163,167
175,179
182,187
182,187
174,178
174,178
174,178
162,167
162,167
162,167
181,185
181,185
171,178
171,178
162,168
171,173
180,185
180,185
