IR Value,Red Value
58274,17331
58256,17300
58250,17297
58242,17284
58237,17279
58219,17251
58200,17252
58192,17224
58207,17246
58217,17287
58249,17293
58249,17293
58249,17295
58211,17251
58207,17230
58232,17259
58276,17328
58295,17324
58280,17340
58238,17266
58212,17245
58177,17189
58153,17172
58114,17161
58140,17159
58153,17164
58196,17211
58226,17277
58266,17311
58273,17329
58291,17337
58289,17343
58273,17323
58261,17329
58248,17283
58220,17261
58211,17256
58210,17230
58184,17211
58190,17216
58197,17239
58194,17227
58188,17228
58184,17219
58194,17209
58189,17220
58200,17234
58191,17232
58211,17245
58207,17235
58221,17258
58219,17264
58218,17237
58222,17271
58224,17272
58228,17282
58217,17261
58216,17267
58200,17242
58190,17244
58132,17165
58141,17188
58138,17183
58162,17216
58183,17253
58190,17219
58118,17148
58097,17123
58121,17151
58151,17194
58151,17194
58188,17234
58176,17216
58175,17204
58139,17172
58144,17169
58126,17146
58099,17114
58101,17129
58110,17140
58139,17171
58175,17194
58178,17218
58195,17217
58181,17223
58193,17234
58175,17212
58172,17212
58171,17176
58161,17208
58148,17173
58147,17191
58159,17189
58141,17180
58151,17197
58142,17199
58158,17188
58164,17200
58161,17186
58173,17227
58156,17198
58179,17209
58176,17215
58172,17208
58153,17192
58163,17207
58161,17192
58153,17200
58148,17196
58145,17185
58155,17195
58147,17191
58149,17191
58157,17193
58151,17202
58153,17193
58133,17166
58141,17162
58141,17162
58142,17180
58100,17136
58065,17086
58063,17100
58082,17105
58087,17130
58138,17175
58090,17134
58036,17046
58027,17049
58063,17070
58115,17123
58143,17170
58154,17181
58113,17138
58120,17136
58100,17110
58070,17081
58050,17072
58059,17071
58063,17081
58089,17100
58088,17112
58089,17095
58089,17099
58086,17082
58061,17089
58031,17050
58002,17004
57986,16972
57987,16969
57998,16987
57983,16980
57939,16909
57850,16817
57785,16754
57776,16740
57783,16761
57833,16790
57865,16842
57923,16914
57954,16928
57979,16947
57978,16964
58014,16996
57966,16946
57952,16941
57943,16916
57968,16923
57954,16956
57997,16992
57946,16945
57922,16904
57911,16886
57955,16925
57998,16975
58019,17018
58019,17018
58001,17001
57994,16994
57976,16959
57961,16925
57919,16892
57923,16886
57920,16913
57948,16900
57948,16933
57990,16967
58007,16992
57994,16986
57985,16974
57958,16936
57922,16913
57909,16878
57904,16862
57876,16844
57869,16854
57886,16858
57903,16863
57884,16855
57868,16834
57864,16837
57905,16857
57947,16917
57991,16970
57978,16975
57985,16959
57958,16945
57960,16932
57904,16874
57895,16866
57883,16842
57891,16877
57914,16899
57950,16946
57993,16986
57997,16997
58023,17022
58013,17022
57973,16970
57945,16946
57965,16948
57996,16997
58018,17013
58018,17013
58044,17049
58021,17010
57993,17002
58014,17006
58056,17058
58095,17107
58069,17104
58055,17067
58037,17052
58053,17053
58059,17045
58008,17002
58022,17020
58003,16997
58015,17012
58044,17055
58056,17052
58079,17081
58060,17067
58045,17049
58017,17033
57996,17010
57983,16986
57977,16977
57969,16946
57973,16967
57967,16951
57964,16947
57957,16941
57959,16940
57958,16939
57968,16968
57965,16959
57970,16954
57969,16963
57986,16973
57973,16975
57990,16987
57996,16979
58008,17005
57973,16973
57967,16987
57953,16943
57957,16951
57961,16957
57966,16959
57955,16957
57938,16929
57912,16921
57819,16797
57815,16775
57818,16796
57824,16790
57877,16867
57866,16865
57843,16807
57833,16804
57833,16804
57859,16837
57876,16850
57924,16901
57944,16919
57923,16905
57913,16882
57893,16852
57867,16827
57856,16799
57852,16805
57836,16786
57838,16785
57843,16811
57869,16837
57868,16835
57864,16837
57851,16804
57844,16794
57836,16797
57820,16770
57802,16759
57780,16720
57772,16710
57770,16723
57777,16724
57773,16715
57777,16731
57776,16731
57783,16734
57787,16737
57779,16723
57787,16746
57786,16751
57785,16759
57804,16755
57792,16738
57796,16760
57783,16740
57797,16742
57786,16753
57774,16726
57782,16751
57770,16712
57768,16718
57763,16697
57763,16697
57753,16715
57737,16689
57737,16695
57742,16706
57728,16694
57699,16637
57659,16594
57639,16562
57652,16577
57672,16604
57717,16662
57684,16645
57646,16570
57656,16558
57679,16578
57719,16658
57746,16690
57751,16689
57740,16659
57707,16650
57735,16647
57719,16660
57708,16622
57719,16658
57719,16670
57749,16694
57783,16729
57822,16764
57830,16780
57826,16786
57806,16760
57806,16762
57787,16739
57796,16740
57777,16747
57780,16733
57800,16735
57790,16749
57798,16735
57794,16738
57787,16716
57780,16721
57770,16725
57782,16736
57781,16722
57754,16702
57723,16641
57733,16679
57722,16665
57750,16706
57765,16709
57742,16663
57694,16632
57674,16586
57699,16640
57719,16635
57719,16635
57727,16670
57684,16601
57617,16534
57575,16499
57568,16470
57528,16411
57517,16425
57491,16385
57513,16414
57532,16409
57566,16491
57593,16512
57617,16532
57627,16551
57629,16555
57618,16549
57606,16532
57616,16525
57620,16539
57631,16556
57618,16538
57593,16516
57600,16503
57578,16496
57585,16497
57582,16481
57581,16483
57583,16476
57581,16510
57593,16506
57592,16501
57603,16528
57609,16539
57626,16553
57650,16555
57694,16627
57710,16644
57756,16680
57750,16691
57772,16722
57771,16728
57792,16727
57804,16753
57803,16740
57814,16783
57818,16772
57825,16787
57788,16755
57788,16755
57795,16748
57796,16754
57833,16815
57869,16857
57846,16796
57786,16743
57801,16743
57820,16767
57886,16834
57899,16872
57932,16897
57891,16856
57883,16847
57875,16839
57859,16802
57831,16786
57834,16777
57845,16775
57865,16812
57873,16816
57889,16866
57882,16840
57899,16863
57887,16852
57863,16839
57864,16812
57846,16793
57850,16805
57849,16776
57839,16780
57825,16766
57835,16776
57824,16769
57829,16785
57819,16774
57837,16791
57835,16784
57837,16791
57831,16777
57852,16799
57836,16796
57847,16788
57845,16788
57835,16793
57815,16763
57826,16789
57822,16764
57825,16756
57819,16795
57824,16765
57816,16770
57806,16751
57815,16761
57790,16752
57777,16739
57774,16703
57772,16706
57772,16706
57759,16679
57729,16648
57689,16607
57692,16617
57689,16593
57715,16642
57730,16659
57686,16619
57643,16538
57599,16470
57638,16532
57647,16549
57670,16573
57683,16583
57660,16541
57638,16534
57630,16498
57617,16507
57599,16487
57617,16509
57627,16513
57655,16531
57691,16584
57719,16614
57731,16627
57721,16642
57716,16631
57690,16588
57679,16598
57674,16576
57664,16562
57659,16548
57655,16549
57643,16543
57652,16550
57646,16550
57665,16562
57667,16561
57660,16563
57646,16543
57652,16557
57641,16543
57640,16535
57610,16502
57597,16478
57584,16469
57593,16491
57616,16502
57602,16477
57553,16417
57559,16429
57590,16459
57590,16459
57633,16516
57629,16503
57624,16509
57581,16463
57575,16449
57547,16422
57544,16401
57538,16412
57547,16397
57566,16431
57575,16465
57617,16486
57662,16564
57653,16555
57662,16568
57631,16523
57624,16493
57602,16483
57602,16483
57596,16465
57600,16477
57580,16476
57586,16462
57607,16493
57580,16459
57608,16497
57618,16489
57612,16509
57625,16516
57608,16496
57628,16506
57628,16506
57617,16510
57625,16519
57608,16508
57616,16512
57603,16507
57592,16499
57584,16456
57572,16466
57580,16477
57580,16477
57612,16509
57591,16479
57551,16421
57541,16392
57565,16414
57625,16501
57640,16534
57652,16543
57639,16532
57635,16521
57629,16511
57571,16463
57581,16446
57565,16441
57571,16453
57597,16491
57615,16493
57638,16532
57644,16544
57648,16538
57638,16546
57629,16513
57612,16497
57591,16466
57578,16462
57571,16449
57575,16453
57566,16425
57562,16438
57558,16432
57578,16449
57568,16440
57580,16462
57574,16455
57573,16462
57569,16468
57574,16452
57585,16472
57594,16474
57579,16500
57586,16476
57601,16491
57589,16500
57596,16488
57596,16488
57608,16497
57599,16490
57599,16495
57598,16487
57603,16489
57570,16455
57553,16447
57556,16413
57572,16456
57592,16492
57613,16525
57573,16463
57537,16415
57534,16407
57571,16475
57618,16505
57642,16546
57633,16542
57633,16532
57632,16511
57623,16508
57585,16491
57586,16441
57582,16470
57573,16447
57598,16487
57631,16495
57645,16565
57649,16526
57650,16546
57633,16527
57617,16507
57606,16505
57590,16478
57586,16465
57583,16457
57565,16455
57584,16469
57602,16473
57596,16499
57574,16473
57584,16476
57589,16498
57595,16486
57601,16491
57603,16503
57599,16481
57607,16510
57588,16483
57591,16488
57592,16503
57586,16479
57593,16481
57587,16474
57585,16459
57572,16456
57528,16415
57511,16401
57509,16393
57525,16404
57546,16431
57541,16433
57458,16326
57433,16290
57443,16285
57478,16325
57500,16367
57500,16367
57513,16398
57497,16357
57474,16347
57474,16327
57427,16282
57408,16272
57392,16235
57407,16227
57389,16239
57421,16279
57439,16293
57466,16311
57471,16317
57456,16314
57473,16312
57439,16281
57437,16288
57426,16259
57422,16284
57419,16251
57415,16262
57419,16264
57411,16254
57397,16243
57372,16212
57360,16175
57365,16188
57373,16186
57393,16226
57373,16214
57339,16168
57345,16153
57358,16170
57394,16223
57421,16252
57437,16273
57426,16252
57425,16248
57390,16224
57369,16185
57338,16165
57342,16169
57341,16150
57369,16196
57364,16194
57369,16199
57351,16187
57351,16187
57353,16182
57321,16138
57294,16086
57250,16055
57251,16049
57261,16078
57290,16108
57293,16113
57325,16160
57305,16126
57289,16115
57309,16121
57335,16160
57386,16224
57393,16214
57392,16236
57393,16229
57398,16241
57376,16198
57359,16194
57334,16159
57351,16169
57327,16161
57360,16188
57378,16222
57376,16206
57384,16221
57366,16203
57383,16228
57350,16191
57355,16186
57351,16184
57342,16174
57337,16172
57331,16144
57332,16187
57326,16143
57318,16148
57317,16152
57314,16154
57327,16154
57338,16160
57326,16169
57332,16165
57329,16177
57339,16164
57343,16176
57346,16157
57342,16176
57339,16168
57347,16186
57325,16170
57334,16171
57326,16171
57334,16183
57325,16155
57295,16125
57295,16125
57250,16061
57245,16043
57242,16051
57254,16077
57295,16134
57288,16109
57247,16073
57215,16021
57237,16055
57257,16084
57306,16120
57334,16157
57307,16150
57299,16124
57287,16120
57274,16095
57253,16085
57261,16072
57268,16075
57276,16092
57308,16120
57308,16136
57322,16154
57329,16151
57326,16160
57307,16164
57314,16131
57300,16117
57290,16108
57276,16094
57272,16089
57262,16088
57267,16088
57266,16092
57272,16073
57262,16088
57267,16092
57272,16128
57279,16103
57277,16110
57283,16100
57249,16059
57004,15770
56738,15438
56604,15257
56604,15257
56636,15321
56702,15394
56804,15517
56849,15588
56872,15621
56903,15638
56887,15610
56856,15574
56824,15526
56803,15528
56804,15530
56805,15521
56759,15457
56689,15386
56707,15395
56753,15439
56811,15534
56849,15565
56876,15596
56865,15580
56847,15570
56853,15573
56822,15538
56813,15522
56813,15530
56839,15544
56851,15578
56890,15617
56910,15651
56926,15647
56905,15641
56922,15653
56903,15634
56898,15628
56894,15622
56895,15593
56873,15588
56879,15617
56866,15579
56881,15603
56872,15589
56876,15607
56867,15598
56859,15577
56850,15558
56842,15555
56866,15585
56866,15592
56901,15636
56880,15604
56862,15579
56864,15567
56904,15632
56957,15679
56985,15731
57009,15743
56982,15742
56983,15716
56974,15710
56974,15710
56961,15698
56938,15676
56945,15682
56960,15704
56995,15750
57013,15770
57027,15793
57018,15787
57006,15760
56990,15730
56973,15718
56956,15702
56938,15679
56944,15674
56937,15673
56934,15689
56966,15720
57006,15756
57000,15762
56983,15731
56969,15738
56992,15749
57021,15775
57056,15812
57058,15803
57049,15807
57059,15812
57046,15788
57033,15789
57004,15758
56990,15749
56995,15757
57019,15783
57023,15770
57049,15807
57043,15809
57043,15823
57046,15796
57035,15796
57021,15789
57016,15774
56998,15763
57005,15756
56994,15750
56994,15750
56991,15755
56991,15755
57014,15772
57007,15770
57012,15781
57014,15781
57009,15786
57024,15794
57026,15799
57030,15796
57033,15796
57041,15808
57032,15813
57027,15804
57042,15808
57026,15811
57039,15818
57038,15799
57034,15803
57047,15826
57038,15805
57055,15821
57044,15827
57047,15835
57039,15827
57042,15826
57032,15816
57018,15771
57018,15797
57023,15794
57060,15857
57077,15876
57049,15824
57000,15766
57015,15770
57036,15832
57090,15886
57106,15898
57125,15926
57092,15886
57077,15863
57069,15842
57048,15822
57028,15795
57024,15799
57020,15789
57047,15803
57072,15839
57069,15838
57082,15868
57070,15865
57059,15840
57066,15845
57039,15823
57044,15822
57028,15805
57021,15818
57021,15818
57022,15792
57037,15810
57031,15804
57035,15805
57029,15816
57039,15823
57035,15835
57052,15830
57048,15831
57049,15840
57039,15834
57029,15801
57034,15816
57045,15817
57041,15823
57030,15822
57034,15804
57035,15825
